Format Version,1.23,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Type,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker
2431,20.258,,,,176.017593,1495.061523,1015.806824,-28.064392,1678.706665,1028.811157,-54.669701,1912.339111,1021.17157,156.659561,926.492188,961.444763,107.272614,1115.253052,1014.209961
2432,20.267,,,,175.995026,1495.084717,1015.837097,-28.053457,1678.751709,1029.104858,-54.430931,1912.464233,1021.373169,156.676453,926.431824,961.40918,107.22805,1115.245361,1014.127502
2433,20.275,,,,175.983414,1495.088745,1015.928894,-28.016863,1678.775757,1029.394653,-54.152729,1912.608154,1021.596802,156.605453,926.421082,961.356873,107.199577,1115.236694,1014.053589
2434,20.283,,,,175.942383,1495.123657,1015.863037,-28.02528,1678.840942,1029.776001,-53.89246,1912.756104,1021.826843,156.579636,926.366028,961.284546,107.171982,1115.237183,1013.980042
2435,20.292,,,,175.938995,1495.137695,1016.046509,-28.025686,1678.933472,1030.190674,-53.574493,1912.870361,1022.099487,156.567978,926.355225,961.207031,107.1408,1115.236816,1013.909485
2436,20.3,,,,175.875809,1495.170166,1016.032104,-28.008572,1678.999634,1030.554565,-53.307026,1913.007324,1022.375916,156.540833,926.287842,961.151794,107.098557,1115.223267,1013.850586
2437,20.308,,,,175.865417,1495.179565,1016.246704,-28.034805,1679.052124,1030.929565,-53.088463,1913.145508,1022.860901,156.742676,926.14801,960.853394,107.083748,1115.243896,1013.735779
2438,20.317,,,,175.784622,1495.216064,1016.121399,-28.038963,1679.144409,1031.377441,-52.754841,1913.294922,1023.1745,156.659729,926.191162,960.759277,107.037132,1115.23584,1013.662598
2439,20.325,,,,175.735001,1495.23584,1016.21582,-28.044453,1679.238037,1031.924561,-52.416542,1913.50293,1023.516418,156.490784,926.310669,960.680542,106.995819,1115.2229,1013.604492
2440,20.333,,,,175.70639,1495.279663,1016.212097,-28.071192,1679.287964,1032.402222,-52.168213,1913.638062,1023.847229,156.457123,926.143127,960.855103,106.973511,1115.231812,1013.52655
2441,20.342,,,,175.665253,1495.292603,1016.368896,-28.070322,1679.383545,1032.885498,-51.953182,1913.783203,1024.209229,156.358963,926.259094,960.75177,106.943222,1115.22583,1013.453369
2442,20.35,,,,175.603317,1495.328247,1016.427185,-28.141178,1679.452759,1033.613647,-51.725231,1913.93396,1024.599731,156.381729,926.078796,960.68988,106.901825,1115.241699,1013.365417
2443,20.358,,,,175.555023,1495.33728,1016.569153,-28.226229,1679.434326,1034.170776,-51.514759,1914.029297,1025.017578,156.315521,926.20105,960.572083,106.863335,1115.249634,1013.287048
2444,20.367,,,,175.478638,1495.372192,1016.703003,-28.353409,1679.4021,1034.902344,-51.414162,1914.113037,1025.681763,156.468948,926.067871,960.27417,106.860443,1115.266602,1013.197876
2445,20.375,,,,175.355591,1495.413574,1016.683716,-28.415693,1679.441895,1035.652954,-51.229534,1914.187866,1026.116943,156.342499,926.201782,960.134888,106.832115,1115.261475,1013.114075
2446,20.383,,,,175.293518,1495.413696,1016.796143,-28.50778,1679.45459,1036.352295,-51.078083,1914.231812,1026.578247,156.292282,926.128418,960.266663,106.851395,1115.30481,1012.984497
2447,20.392,,,,175.20372,1495.443848,1016.942261,-28.564844,1679.463989,1037.167725,-50.941872,1914.303589,1027.090698,156.371292,926.02356,960.201538,106.82869,1115.317749,1012.88678
2448,20.4,,,,175.104218,1495.482422,1016.986267,-28.638145,1679.439087,1037.902832,-50.836578,1914.362061,1027.62793,156.303085,926.165222,959.986877,106.817711,1115.317383,1012.791504
2449,20.408,,,,175.016357,1495.502563,1017.02179,-28.743464,1679.414062,1038.83606,-50.672375,1914.453491,1028.212036,156.302856,926.117737,959.897522,106.816147,1115.340698,1012.687439
2450,20.417,,,,174.940598,1495.502319,1017.149109,-28.831844,1679.384888,1039.748413,-50.541958,1914.555786,1028.82019,156.32692,926.071106,959.777039,106.826057,1115.367798,1012.572388
2451,20.425,,,,174.835281,1495.532349,1017.21167,-28.93651,1679.365112,1040.627808,-50.529179,1914.628052,1029.427856,156.331833,926.143433,959.629395,106.838043,1115.38147,1012.464417
2452,20.433,,,,174.741074,1495.518188,1017.426514,-29.036684,1679.370605,1041.581787,-50.489742,1914.676758,1030.079712,156.378983,926.191284,959.498352,106.859528,1115.425415,1012.373779
2453,20.442,,,,174.639359,1495.514893,1017.620544,-29.208218,1679.318726,1042.627808,-50.547367,1914.677368,1031.06958,156.478622,926.147583,959.119995,106.877876,1115.434326,1012.289307
2454,20.45,,,,174.44725,1495.515747,1017.720947,-29.300804,1679.237183,1043.666626,-50.556339,1914.712524,1031.779663,156.378845,926.234619,959.19397,106.893135,1115.438354,1012.199524
2455,20.458,,,,174.268143,1495.525879,1017.836914,-29.425938,1679.22522,1044.690918,-50.554329,1914.697144,1032.544678,156.563858,926.099854,959.082336,106.954819,1115.466187,1012.070923
2456,20.467,,,,174.041626,1495.532104,1018.060303,-29.524601,1679.156128,1045.745483,-50.56551,1914.698975,1033.331787,156.641708,926.111938,958.706421,107.018768,1115.482788,1011.967651
2457,20.475,,,,173.81691,1495.525146,1018.243286,-29.800266,1679.030518,1047.089966,-50.585846,1914.617554,1034.157593,156.665314,926.163208,958.540894,107.070282,1115.49646,1011.881714
2458,20.483,,,,173.504837,1495.522095,1018.364929,-29.985971,1678.962646,1048.241455,-50.677757,1914.552734,1035.01062,156.688156,926.177734,958.387085,107.108727,1115.500122,1011.807068
2459,20.492,,,,173.199249,1495.526001,1018.480164,-30.262445,1678.816772,1049.585938,-50.780281,1914.452148,1035.914185,156.761032,926.263489,958.220154,107.187653,1115.516235,1011.710388
2460,20.5,,,,172.878204,1495.515991,1018.546204,-30.588358,1678.682251,1051.069336,-51.035091,1914.300659,1037.238159,156.977386,926.105652,958.065857,107.248131,1115.52478,1011.635315
2461,20.508,,,,172.457001,1495.527954,1018.220398,-30.911148,1678.477051,1052.490723,-51.224113,1914.148193,1038.198486,156.956131,926.236877,957.925842,107.343307,1115.530884,1011.53125
2462,20.517,,,,172.062439,1495.499023,1018.100159,-31.262663,1678.235474,1054.05542,-51.370564,1913.92395,1039.248657,156.938736,926.269653,957.984192,107.445969,1115.52124,1011.44635
2463,20.525,,,,171.62561,1495.427368,1018.040161,-31.700048,1677.967773,1055.685303,-51.618717,1913.691895,1040.294189,156.997406,926.299866,957.84906,107.543678,1115.501221,1011.378174
2464,20.533,,,,171.227707,1495.335815,1018.146484,-32.127262,1677.664673,1057.302856,-51.862293,1913.454468,1041.400269,157.146927,926.283997,957.703918,107.68367,1115.486694,1011.301636
2465,20.542,,,,170.799225,1495.188721,1018.534912,-32.675117,1677.301636,1059.093628,-52.132504,1913.21228,1042.547974,157.270889,926.377197,957.54126,107.84008,1115.46582,1011.240723
2466,20.55,,,,170.398941,1495.15979,1018.51239,-33.243073,1676.921143,1060.945801,-52.372135,1912.953857,1043.786865,157.348404,926.352539,957.400452,108.011887,1115.433105,1011.147827
2467,20.558,,,,169.967834,1495.146851,1018.396973,-33.727413,1676.578003,1062.751221,-52.628265,1912.623169,1045.11084,157.475281,926.351746,957.255127,108.175026,1115.36084,1011.13855
2468,20.567,,,,169.526077,1495.076904,1018.453003,-34.309082,1676.173706,1064.720215,-52.895565,1912.334961,1046.541626,157.651337,926.259033,957.143311,108.298782,1115.273193,1011.122925
2469,20.575,,,,169.076645,1495.019165,1018.6875,-34.846653,1675.720703,1066.665771,-53.227539,1911.927856,1048.56897,157.852936,926.269592,956.78772,108.441002,1115.212158,1011.090149
2470,20.583,,,,168.453201,1494.901245,1018.741943,-35.470417,1675.231567,1068.755981,-53.393623,1911.50708,1050.189209,157.835327,926.361938,956.816772,108.571732,1115.138428,1011.009705
2471,20.592,,,,167.946594,1494.848145,1018.691528,-36.005741,1674.713867,1070.908691,-53.635246,1910.995361,1051.885742,158.035233,926.208252,956.728149,108.684525,1115.085938,1010.90564
2472,20.6,,,,167.476349,1494.806152,1018.416138,-36.547314,1674.162598,1073.123291,-53.797012,1910.430786,1053.719238,158.087952,926.279785,956.561646,108.790413,1114.998901,1010.795349
2473,20.608,,,,167.011612,1494.772217,1018.342468,-37.116367,1673.581055,1075.408691,-53.956615,1909.889282,1055.661865,158.251419,926.133484,956.423706,108.864914,1114.91272,1010.660889
2474,20.617,,,,166.562119,1494.751343,1018.277405,-37.601578,1672.991455,1077.717285,-54.184727,1909.314575,1057.696289,158.380585,926.124023,956.266541,108.972603,1114.838623,1010.470154
2475,20.625,,,,166.15892,1494.708618,1018.424011,-38.098049,1672.334717,1080.084961,-54.252949,1908.760376,1059.890259,158.403534,926.236938,956.110291,109.075005,1114.75708,1010.259521
2476,20.633,,,,165.720764,1494.629639,1018.968689,-38.587578,1671.734497,1082.545288,-54.534454,1908.124146,1062.827759,158.652542,926.018188,955.787292,109.146278,1114.641724,1010.09906
2477,20.642,,,,165.187088,1494.592041,1019.11615,-39.112038,1671.131104,1085.131348,-54.498791,1907.521362,1065.259155,158.838959,925.862549,955.837463,109.267845,1114.526001,1009.870056
2478,20.65,,,,164.56636,1494.600098,1019.134766,-39.597256,1670.528809,1087.74353,-54.388409,1906.745239,1067.812378,158.849136,925.900879,955.650269,109.374619,1114.383911,1009.686462
2479,20.658,,,,164.047226,1494.574097,1019.228821,-39.965717,1669.874878,1090.288696,-54.375332,1905.909058,1070.451416,159.043411,925.799255,955.474182,109.499069,1114.285767,1009.447083
2480,20.667,,,,163.535614,1494.584961,1019.003052,-40.784267,1668.918457,1093.372803,-54.264835,1905.173218,1073.286255,159.045654,925.983398,955.303711,109.559341,1114.180908,1009.286194
2481,20.675,,,,162.96666,1494.560059,1018.980042,-41.227825,1668.17749,1096.391357,-54.288204,1904.309082,1076.220215,159.202591,925.734131,955.18634,110.003349,1114.491455,1008.505554
2482,20.683,,,,162.426468,1494.462158,1019.329102,-41.568249,1667.437134,1099.117554,-54.175846,1903.311279,1079.340088,159.228928,925.776917,955.012329,110.062408,1114.403931,1008.311035
2483,20.692,,,,160.164459,1493.911377,1023.837219,-41.816231,1666.671631,1102.050171,-53.898983,1902.368896,1082.583618,159.436569,925.65387,954.901306,110.104172,1114.288818,1008.141663
2484,20.7,,,,159.835373,1493.925903,1023.882629,-42.047176,1665.877197,1104.986816,-53.571484,1901.488281,1085.9552,159.469711,925.681641,954.7229,110.161537,1114.174316,1007.912415
2485,20.708,,,,159.430634,1494.042725,1023.792969,-42.27079,1665.14209,1108.060669,-53.475761,1900.386963,1090.228394,159.620911,925.695862,954.365784,110.223831,1114.072266,1007.719177
2486,20.717,,,,158.995331,1494.083496,1023.411377,-42.31329,1664.306885,1111.092896,-53.153721,1899.201294,1093.807373,159.576996,925.705933,954.390869,110.28009,1113.932495,1007.556458
2487,20.725,,,,158.57579,1494.062988,1023.621582,-42.651405,1663.559814,1114.460083,-52.872189,1898.111816,1097.499878,159.74173,925.505066,954.235107,109.919975,1113.388672,1007.959961
2488,20.733,,,,158.103867,1494.010498,1023.666016,-42.707748,1662.605225,1117.740845,-52.15876,1896.901367,1101.431274,159.723877,925.561707,954.007996,109.94828,1113.24939,1007.791138
2489,20.742,,,,157.808228,1493.935181,1023.397461,-42.715244,1661.693359,1120.622925,-51.643555,1895.734253,1105.432495,159.910889,925.354614,953.85437,109.983864,1113.141846,1007.592896
2490,20.75,,,,157.333405,1493.966553,1023.159363,-42.582123,1660.727295,1124.202759,-51.101448,1894.431396,1109.542236,159.981033,925.411255,953.643066,110.004898,1113.070923,1007.378479
2491,20.758,,,,156.875595,1493.884766,1023.374207,-42.453156,1659.760864,1127.574585,-50.217983,1893.071167,1113.858521,160.000778,925.317139,953.44635,110.372604,1113.382812,1006.611206
2492,20.767,,,,156.434937,1493.888306,1023.703003,-42.352322,1658.882202,1131.122559,-49.712898,1891.712524,1119.151123,160.150558,925.367981,953.046509,110.378029,1113.300171,1006.453857
2493,20.775,,,,155.652573,1493.926025,1023.578186,-42.172703,1657.823608,1134.613403,-48.88203,1890.214722,1123.580322,160.129623,925.300781,953.040649,110.380852,1113.185913,1006.284485
2494,20.783,,,,154.914352,1493.977295,1023.912781,-41.902103,1656.611328,1138.172241,-47.76125,1888.908203,1128.20166,160.23378,925.126587,952.752625,110.381172,1113.106567,1006.137939
2495,20.792,,,,154.190216,1493.926514,1024.491699,-41.924339,1655.627686,1142.105957,-46.811138,1887.210083,1132.856445,160.37439,925.179077,952.389648,110.373871,1112.994263,1006.016235
2496,20.8,,,,153.521484,1493.858643,1024.755127,-41.555107,1654.518799,1145.803223,-45.848454,1885.700439,1137.650635,160.423248,925.072388,952.200867,110.362846,1112.894531,1005.913635
2497,20.808,,,,152.836319,1493.765625,1025.454468,-41.164505,1653.289429,1149.445435,-44.592136,1883.916748,1142.554565,160.44957,925.14563,951.985901,110.346481,1112.778442,1005.819458
2498,20.817,,,,152.053604,1493.716919,1025.865601,-40.868782,1652.153442,1153.280029,-43.427509,1881.943115,1147.525757,160.449036,925.112305,951.807434,109.955719,1112.255371,1006.266846
2499,20.825,,,,151.257507,1493.621948,1026.572876,-40.591381,1650.907349,1157.204956,-42.043766,1880.360962,1152.666992,160.482529,924.999146,951.619019,109.940018,1112.07251,1006.166687
2500,20.833,,,,150.647812,1493.525635,1027.106323,-40.071926,1649.558105,1161.008423,-40.737869,1878.443481,1157.831177,160.464203,925.059448,951.38562,110.265945,1112.327759,1005.494385
2501,20.842,,,,149.944611,1493.328735,1027.486084,-39.531429,1648.296509,1164.904541,-39.397491,1876.401855,1164.179932,160.49115,924.941223,951.178223,110.210564,1112.21875,1005.379089
2502,20.85,,,,149.082413,1493.223389,1027.814331,-39.208889,1647.054688,1168.815674,-38.102127,1874.469849,1169.411621,160.458481,924.954529,950.99054,110.171494,1112.082031,1005.212646
2503,20.858,,,,148.358963,1493.12854,1028.595459,-38.497208,1645.423828,1172.382324,-36.37751,1872.220703,1174.755859,160.446579,924.891479,950.788269,110.131004,1111.942627,1005.066406
2504,20.867,,,,147.656586,1493.154175,1028.849365,-37.948185,1643.994629,1176.37207,-34.777332,1869.89917,1180.158203,160.456406,924.788635,950.624939,110.029961,1111.778564,1004.947327
2505,20.875,,,,147.07724,1493.089966,1029.387085,-37.472988,1642.473145,1180.399048,-33.143047,1867.68396,1185.598755,160.39003,924.964722,950.384155,109.945389,1111.633667,1004.830505
2506,20.883,,,,146.499557,1492.962402,1030.389893,-36.762997,1640.928223,1184.422241,-31.606873,1865.348511,1191.060913,160.344971,924.862061,950.195801,109.813065,1111.423706,1004.74176
2507,20.892,,,,145.834183,1492.893921,1031.047729,-36.091702,1639.324219,1188.296753,-29.878862,1862.846558,1196.591309,160.346359,924.775452,949.980408,109.679222,1111.253418,1004.641907
2508,20.9,,,,145.237686,1492.773438,1031.81897,-35.486542,1637.671143,1192.271606,-28.454834,1860.266968,1203.268677,160.325836,924.85907,949.747009,109.570625,1111.100464,1004.59314
2509,20.908,,,,144.554031,1492.75,1032.14624,-34.76395,1635.973755,1196.15332,-26.779232,1857.56543,1208.743286,160.209457,924.754395,949.57135,109.450829,1110.895386,1004.576233
2510,20.917,,,,143.978607,1492.614868,1032.883911,-33.844574,1634.155518,1199.806885,-24.970116,1854.874634,1214.288696,160.16774,924.842468,949.346008,109.349213,1110.741577,1004.568237
2511,20.925,,,,143.369583,1492.497681,1033.543091,-32.973461,1632.501831,1203.661499,-23.285212,1852.144531,1219.783447,160.022827,924.796753,949.148865,109.254776,1110.550415,1004.587646
2512,20.933,,,,142.793533,1492.340576,1034.100952,-32.189842,1630.70752,1207.418945,-21.569782,1849.124023,1225.312744,159.955093,924.665405,948.942749,109.204948,1110.331421,1004.606506
2513,20.942,,,,142.220078,1492.15918,1035.087646,-31.451534,1628.940918,1211.199341,-19.905668,1846.37146,1230.85791,159.861313,924.67511,948.75238,109.167618,1110.096436,1004.631653
2514,20.95,,,,142.054672,1492.337036,1036.608887,-30.567726,1626.910034,1214.730591,-18.420261,1843.208984,1236.348633,159.773621,924.80249,948.548462,109.135551,1109.87854,1004.706055
2515,20.958,,,,141.485367,1492.14502,1037.732422,-29.617569,1625.039307,1218.456543,-16.614498,1840.431641,1241.969849,159.659973,924.640076,948.3797,109.097786,1109.6698,1004.769775
2516,20.967,,,,140.884537,1491.9021,1038.984497,-28.683193,1623.139648,1222.160156,-15.396625,1837.222778,1247.396118,159.593918,924.716003,948.194763,109.044136,1109.422852,1004.86792
2517,20.975,,,,140.193924,1491.557129,1040.09729,-27.846518,1621.071167,1225.724487,-14.157565,1834.164185,1254.087036,159.548325,924.809692,948.019653,109.024071,1109.168457,1004.96698
2518,20.983,,,,139.259644,1491.247803,1041.417358,-26.977268,1619.127319,1229.426025,-12.746364,1830.939087,1259.482056,159.44986,924.579468,947.894775,109.005882,1108.873047,1005.058533
2519,20.992,,,,138.428284,1490.927979,1042.646484,-25.886074,1617.041016,1232.863159,-11.77885,1827.678711,1264.765015,159.324524,924.642944,947.713806,108.913025,1108.55542,1005.111206
2520,21,,,,137.635162,1490.516479,1043.847534,-24.873518,1614.862915,1236.238525,-10.662425,1824.521606,1270.124146,159.191574,924.638916,947.548401,108.768867,1108.231445,1005.145081
2521,21.008,,,,136.816895,1490.255737,1045.101685,-23.726833,1612.738525,1239.561523,-9.324482,1821.252319,1275.578247,159.147079,924.582886,947.347534,108.582016,1107.971924,1005.197388
2522,21.017,,,,135.736969,1490.073486,1046.310913,-22.648045,1610.62561,1242.898438,-8.547957,1817.710327,1280.929199,159.060837,924.456909,947.172363,108.373573,1107.668579,1005.242249
2523,21.025,,,,135.019714,1489.835571,1047.297729,-21.771645,1608.315918,1246.247314,-7.882236,1814.199585,1286.299683,158.976501,924.452881,947.004517,108.203979,1107.353271,1005.31897
2524,21.033,,,,134.485947,1489.585693,1048.131836,-20.710649,1606.143555,1249.655884,-7.670484,1810.467285,1292.786011,158.857346,924.572327,946.826782,108.101974,1107.097412,1005.38446
2525,21.042,,,,133.069229,1489.439819,1049.618164,-20.117281,1603.727051,1252.964966,-7.178356,1806.924072,1298.055908,158.759613,924.439087,946.707153,108.044586,1106.810181,1005.474915
2526,21.05,,,,132.288849,1489.295166,1050.660156,-19.36533,1601.380615,1256.248169,-6.836338,1803.254395,1303.31311,158.622421,924.465027,946.571045,107.981964,1106.569946,1005.589233
2527,21.058,,,,131.598312,1489.183228,1051.518921,-18.502768,1598.832153,1259.484741,-6.606369,1799.349609,1308.536865,158.579727,924.386658,946.449707,107.933716,1106.276489,1005.733582
2528,21.067,,,,131.005127,1489.035889,1052.337158,-18.012011,1596.292358,1262.733521,-6.50284,1795.318848,1313.734009,158.428391,924.406738,946.342773,107.834068,1106.001831,1005.879272
2529,21.075,,,,130.342438,1488.829102,1053.204468,-17.631243,1593.527466,1265.907227,-6.485743,1791.208862,1318.903198,158.316467,924.419373,946.210999,107.784866,1105.775879,1005.960205
2530,21.083,,,,129.896713,1488.629639,1053.957153,-17.217663,1590.707886,1269.168457,-6.50469,1787.092407,1324.060913,158.183914,924.396484,946.095215,107.766731,1105.562134,1005.975464
2531,21.092,,,,129.342575,1488.494873,1054.722412,-16.708326,1588.067139,1271.948364,-6.555444,1783.007446,1329.185059,158.039352,924.401489,945.991089,107.745377,1105.333862,1005.924561
2532,21.1,,,,128.867035,1488.309692,1055.489868,-16.664434,1585.091797,1275.093384,-6.522991,1778.753052,1334.349121,157.810471,924.522034,945.895203,107.672028,1105.070312,1005.923523
2533,21.108,,,,128.19339,1488.197144,1056.244629,-16.543747,1581.93457,1278.265869,-7.110029,1774.209351,1340.545776,157.67511,924.446045,945.748169,107.589951,1104.830322,1005.890747
2534,21.117,,,,127.390831,1488.028809,1057.072876,-16.048536,1579.399292,1280.761597,-7.469897,1769.488892,1345.437134,157.453888,924.617859,945.66394,107.469757,1104.531738,1005.859985
2535,21.125,,,,126.607254,1487.883667,1057.921021,-16.112888,1576.287231,1283.587402,-7.693636,1765.046021,1350.414062,157.355911,924.437988,945.630005,107.33976,1104.31897,1005.819336
2536,21.133,,,,126.005737,1487.715576,1058.709839,-16.214798,1573.275146,1286.417236,-7.786562,1760.585449,1355.380249,157.13475,924.442261,945.595886,107.216393,1104.024536,1005.78772
2537,21.142,,,,125.436363,1487.525879,1059.479736,-15.778335,1570.459595,1288.691528,-8.027295,1755.880737,1360.285645,156.948029,924.555603,945.5802,107.081757,1103.734131,1005.739929
2538,21.15,,,,124.774406,1487.403687,1060.251465,-16.068382,1567.402832,1291.495361,-8.449583,1751.243286,1365.163818,156.775467,924.519165,945.559265,106.992821,1103.42749,1005.63623
2539,21.158,,,,124.178413,1487.279175,1060.941528,-16.37583,1564.110107,1293.947754,-8.803261,1746.469238,1369.982056,156.513443,924.569946,945.559814,106.86821,1103.0896,1005.586853
2540,21.167,,,,123.727463,1487.14917,1061.539673,-16.168663,1561.207153,1296.010376,-9.294971,1741.355835,1375.710205,156.349533,924.565857,945.541138,106.727257,1102.812378,1005.500916
2541,21.175,,,,122.928917,1487.177856,1062.220947,-16.661564,1557.877319,1298.339722,-9.50771,1736.147705,1380.356689,156.217377,924.363464,945.556091,106.615044,1102.400513,1005.515564
2542,21.183,,,,122.435081,1487.129028,1062.906982,-15.847392,1554.473511,1300.386353,-10.234215,1730.822632,1385.05249,155.878952,924.501648,945.533997,106.625717,1101.966187,1005.470032
2543,21.192,,,,121.982643,1487.007812,1063.555298,-16.198837,1551.252197,1302.497559,-10.79814,1725.619873,1389.662476,155.838562,924.269897,945.570496,105.911293,1101.505859,1005.807068
2544,21.2,,,,121.501396,1486.76355,1064.329102,-17.044962,1548.088135,1304.810791,-11.388503,1720.497559,1394.436035,155.594055,924.34967,945.540527,103.887085,1100.212158,1012.532959
2545,21.208,,,,120.872185,1486.467651,1065.127197,-17.640936,1544.534912,1307.151855,-11.891341,1714.84082,1398.977783,155.28595,924.402161,945.635376,103.616905,1099.574341,1013.013245
2546,21.217,,,,120.303802,1486.137451,1065.942139,-17.456161,1541.533203,1308.631104,-12.264705,1709.50708,1403.745972,155.046875,924.426758,945.668762,103.440414,1099.146606,1013.283386
2547,21.225,,,,119.675209,1485.912231,1066.770874,-18.015001,1537.987549,1310.82373,-13.082668,1704.197876,1408.240479,154.88446,924.371521,945.714661,103.221588,1098.594971,1013.476257
2548,21.233,,,,119.075768,1485.655029,1067.646851,-18.502062,1534.404053,1313.062256,-13.777271,1698.726196,1412.901001,154.809784,924.197266,945.746216,103.044579,1098.005127,1013.780579
2549,21.242,,,,118.531975,1485.481079,1068.501221,-18.493776,1531.412476,1314.459106,-15.081982,1693.054688,1418.525635,154.638611,924.332092,945.724121,102.940628,1097.44873,1013.992188
2550,21.25,,,,117.737053,1485.323853,1069.311279,-19.06036,1527.673218,1316.633545,-16.869076,1686.90625,1427.518555,154.520798,924.19519,945.736877,102.785934,1096.83374,1014.183044
2551,21.258,,,,117.17662,1485.139526,1070.030029,-19.498812,1524.072998,1318.489502,-18.277102,1680.989136,1433.019287,154.454269,924.056458,945.737732,102.543228,1095.978882,1014.388428
2552,21.267,,,,116.63044,1484.880615,1070.760742,-19.399433,1520.729614,1320.052734,-19.736879,1675.114136,1439.377197,154.380203,924.04718,945.698792,102.394821,1095.336182,1014.483704
2553,21.275,,,,115.842888,1484.501221,1071.717773,-19.986605,1516.978271,1322.041382,-21.403811,1669.203125,1444.771484,154.364502,923.922241,945.677246,102.162727,1094.724365,1014.55188
2554,21.283,,,,115.143799,1484.104126,1072.565308,-20.08774,1513.511108,1323.663086,-22.519182,1663.425293,1450.839966,154.341446,923.99115,945.659912,101.976585,1094.383301,1014.582886
2555,21.292,,,,114.324158,1483.707886,1073.443237,-20.211702,1510.174805,1325.241821,-23.486254,1658.068726,1453.455444,154.282669,923.891541,945.635315,101.850266,1094.106567,1014.500977
2556,21.3,,,,113.532242,1483.067505,1074.374268,-20.801413,1506.541382,1327.078979,-25.624056,1652.183716,1461.834839,154.336044,923.782043,945.606384,101.565643,1093.52771,1014.465698
2557,21.308,,,,112.539467,1482.725952,1075.309082,-20.736776,1503.233765,1328.57605,-26.444954,1646.754028,1464.071045,154.392227,923.763733,945.565002,101.242882,1092.922729,1014.34491
2558,21.317,,,,111.581459,1482.185791,1076.241211,-20.522764,1499.967773,1330.046021,-27.224907,1641.69104,1466.657471,154.458557,923.538269,945.506409,101.257935,1092.72998,1014.131042
2559,21.325,,,,110.672539,1481.622314,1077.166382,-21.029003,1496.445679,1331.806274,-28.17206,1636.231201,1469.461548,154.411331,923.645325,945.436462,100.834198,1091.961182,1014.293335
2560,21.333,,,,109.731842,1481.084961,1077.989868,-20.464846,1493.043335,1333.103149,-29.150599,1630.689087,1472.395386,154.538193,923.483643,945.382141,99.462036,1091.369263,1014.697449
2561,21.342,,,,108.907883,1480.553833,1078.952271,-19.84544,1489.928101,1334.324219,-30.167908,1625.673096,1475.57373,154.620468,923.547302,945.291016,99.364769,1090.949951,1014.685852
2562,21.35,,,,107.959778,1479.997314,1079.883911,-20.093916,1486.411133,1335.939209,-31.207838,1620.457886,1478.607178,154.714935,923.48053,945.233643,99.227371,1090.423218,1014.67395
2563,21.358,,,,106.97995,1479.364258,1080.919678,-20.374775,1483.259644,1337.528809,-32.214378,1615.425659,1481.715454,154.821869,923.396179,945.135498,99.009315,1089.898315,1014.530396
2564,21.367,,,,106.049934,1478.86145,1082.000488,-20.029741,1480.420654,1338.537842,-33.15435,1610.549316,1484.882446,154.86087,923.485962,944.999817,98.920135,1089.542969,1014.391052
2565,21.375,,,,105.227737,1478.434082,1083.122437,-20.264877,1477.21936,1340.210205,-34.155258,1605.526367,1488.634155,155.02095,923.463562,944.878845,98.841888,1089.19043,1014.259949
2566,21.383,,,,104.408737,1477.955078,1084.208984,-20.291883,1474.079834,1341.814575,-35.092896,1600.805176,1491.743042,155.127579,923.509949,944.740845,98.503616,1088.752075,1014.147644
2567,21.392,,,,103.594879,1477.542725,1085.116699,-20.486967,1471.073364,1343.038818,-35.692085,1595.843628,1494.865479,155.305023,923.412292,944.611938,98.453133,1088.517578,1014.045105
2568,21.4,,,,102.914398,1477.314453,1085.739746,-20.236778,1468.36438,1344.166504,-36.658859,1591.286743,1497.918335,155.424149,923.353699,944.490234,98.474304,1088.266968,1013.922546
2569,21.408,,,,102.205475,1476.8573,1086.804688,-20.560297,1465.284302,1345.381592,-37.326237,1586.288574,1500.926514,155.460358,923.389832,944.368286,98.252548,1087.919922,1013.690369
2570,21.417,,,,101.461716,1476.509521,1087.565186,-20.687836,1462.136353,1346.842163,-37.981548,1581.785278,1503.342041,155.610229,923.344971,944.231934,98.155006,1087.64917,1013.51355
2571,21.425,,,,100.824608,1476.150269,1088.395874,-20.460409,1459.45752,1347.78894,-38.610863,1576.880249,1505.452881,155.669968,923.383545,944.110901,98.079369,1087.383301,1013.387451
2572,21.433,,,,100.312218,1476.102173,1089.198853,-20.935171,1456.617065,1349.054688,-40.453407,1571.467529,1514.536621,155.687576,923.433899,944.050659,97.969986,1087.128174,1013.281372
2573,21.442,,,,100.16996,1475.040039,1090.454956,-20.728222,1453.367188,1350.232178,-42.085087,1566.123657,1519.95752,155.830811,923.332336,943.914978,97.699821,1086.853638,1013.141968
2574,21.45,,,,99.641602,1474.735596,1091.42688,-20.91408,1450.365845,1351.34668,-42.792435,1561.200439,1525.102783,155.870667,923.420959,943.787048,97.706345,1086.573364,1013.134827
2575,21.458,,,,99.104843,1474.414185,1092.303955,-20.672449,1447.808838,1352.253784,-43.856503,1556.155884,1529.503784,155.930801,923.469177,943.69165,97.184242,1086.210449,1013.100037
